Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Davion Mitchell,PG,25,SAC,72,1101,9.3,1.9,7.9,4.8,16.0,0.7,0.2,14.9,0.8,0.6,1.3,0.059,-2.4,-1.0,-3.4,-0.4,0,0,0,2024
Donovan Mitchell,SG,27,CLE,55,1942,22.1,2.7,13.4,8.1,28.3,2.6,1.4,31.4,3.6,2.9,6.4,0.159,4.6,1.2,5.8,3.9,0,0,0,2024
Evan Mobley,PF,22,CLE,50,1532,20.1,8.2,25.9,17.2,15.9,1.5,4.2,20.6,2.8,2.7,5.5,0.174,0.9,2.0,2.9,1.9,0,0,0,2024
Isaiah Mobley,PF,24,CLE,10,72,8.1,4.7,10.8,7.8,11.5,1.4,0.0,16.2,0.0,0.1,0.0,0.032,-4.5,-2.1,-6.6,-0.1,0,0,0,2024
Malik Monk,SG,25,SAC,72,1872,16.0,1.6,11.3,6.3,28.9,1.2,1.9,25.9,1.9,1.6,3.5,0.09,1.5,-1.0,0.6,1.2,0,0,0,2024
Moses Moody,SG,21,GSW,66,1156,13.7,6.2,12.1,9.2,6.7,1.8,1.9,18.4,1.2,1.2,2.4,0.101,-0.2,0.1,-0.1,0.6,0,0,0,2024
Xavier Moon,SG,29,LAC,14,119,8.1,7.9,9.2,8.5,23.4,1.2,2.3,19.1,-0.2,0.1,-0.1,-0.026,-4.7,-1.4,-6.1,-0.1,0,0,0,2024
Taze Moore,SG,25,POR,4,40,11.8,10.6,11.9,11.2,20.4,2.5,0.0,24.3,0.0,0.0,0.0,-0.017,-2.5,-0.6,-3.1,0.0,0,1,0,2024
Wendell Moore Jr.,SG,22,MIN,25,75,8.6,0.0,17.4,9.1,10.9,3.3,1.2,13.0,-0.1,0.2,0.1,0.052,-6.1,3.3,-2.8,0.0,0,0,0,2024
Ja Morant,PG,24,MEM,9,318,20.6,2.0,15.8,8.6,42.2,1.1,1.5,30.4,0.5,0.3,0.8,0.124,2.7,0.4,3.1,0.4,0,0,0,2024
Markieff Morris,PF,34,DAL,26,216,6.6,2.0,17.6,9.9,9.4,1.1,1.2,16.4,-0.3,0.2,-0.1,-0.014,-4.0,-1.3,-5.3,-0.2,0,0,0,2024
Trey Murphy III,SF,23,NOP,57,1690,16.3,2.8,15.5,9.2,10.2,1.5,1.6,18.6,3.4,2.0,5.4,0.154,2.5,0.0,2.5,1.9,0,0,0,2024
Dejounte Murray,SG,27,ATL,78,2783,17.7,2.3,14.4,8.1,27.9,1.9,0.8,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,0,0,0,2024
Jamal Murray,PG,26,DEN,59,1861,20.7,2.6,11.6,7.2,31.2,1.5,1.8,27.9,3.8,2.1,5.9,0.153,4.5,-0.4,4.1,2.9,0,0,0,2024
Keegan Murray,SF,23,SAC,77,2588,13.3,4.5,13.9,9.1,6.9,1.5,2.1,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8,0,0,0,2024
Kris Murray,SF,23,POR,62,1348,9.0,6.7,12.3,9.3,8.4,1.9,1.4,14.1,-0.4,1.0,0.7,0.024,-3.5,-0.2,-3.6,-0.6,0,1,0,2024
Svi Mykhailiuk,SF,26,BOS,41,413,11.7,3.0,10.0,6.7,11.0,1.3,0.2,16.1,0.5,0.4,0.9,0.106,-0.9,-0.9,-1.8,0.0,0,0,0,2024
Larry Nance Jr.,C,31,NOP,61,1216,14.9,8.7,19.3,14.1,12.1,2.5,1.5,11.3,2.1,1.9,4.1,0.16,-0.2,2.2,2.0,1.2,0,0,0,2024
Pete Nance,PF,23,CLE,8,27,-3.9,0.0,12.3,6.2,0.0,1.8,0.0,12.9,-0.1,0.0,-0.1,-0.154,-11.9,-3.2,-15.2,-0.1,0,1,0,2024
Andrew Nembhard,PG,24,IND,68,1697,11.3,2.4,7.0,4.7,20.0,1.8,0.3,16.0,1.3,0.7,2.0,0.057,-1.6,-0.5,-2.2,-0.1,0,0,0,2024
Aaron Nesmith,SF,24,IND,72,1995,12.8,3.6,12.0,7.8,6.6,1.5,2.0,16.0,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,0,0,0,2024
Georges Niang,PF,30,CLE,82,1831,9.9,1.4,15.5,8.5,7.5,0.8,0.9,17.6,0.5,2.0,2.4,0.064,-2.5,-0.4,-2.9,-0.4,0,0,0,2024
Daishen Nix,PG,21,MIN,15,50,12.3,2.4,4.3,3.4,17.8,4.9,0.0,28.0,-0.1,0.1,0.0,0.014,-2.8,1.4,-1.4,0.0,0,0,0,2024
Zeke Nnaji,PF,23,DEN,58,576,12.4,12.1,12.2,12.1,7.0,1.3,5.6,15.4,0.4,0.8,1.2,0.099,-3.8,0.1,-3.7,-0.2,0,0,0,2024
Markquis Nowell,SG,24,TOR,1,4,55.5,53.9,0.0,27.5,57.1,12.1,0.0,20.1,0.0,0.0,0.1,0.665,29.1,14.2,43.3,0.0,0,1,0,2024
Frank Ntilikina,PG,25,CHO,5,43,0.0,2.5,13.5,7.8,11.5,0.0,0.0,11.2,-0.1,0.0,-0.1,-0.099,-10.0,-3.4,-13.4,-0.1,0,0,0,2024
Jusuf Nurkić,C,29,PHO,76,2078,17.4,12.8,31.7,22.8,19.9,1.9,3.4,19.1,2.0,3.8,5.8,0.133,-1.0,2.1,1.1,1.6,0,0,0,2024
Chuma Okeke,SF,25,ORL,47,432,6.9,4.9,17.0,10.9,6.2,1.0,1.5,13.3,-0.3,0.6,0.3,0.029,-3.2,-0.2,-3.4,-0.2,0,0,0,2024
Josh Okogie,SG,25,PHO,60,960,12.0,9.2,9.0,9.1,8.4,2.4,2.2,13.0,1.0,1.1,2.1,0.104,-1.3,0.8,-0.5,0.4,0,0,0,2024
Onyeka Okongwu,C,23,ATL,55,1405,16.9,10.8,18.6,14.6,7.2,0.9,3.8,13.7,3.5,1.0,4.5,0.153,0.0,-0.5,-0.4,0.5,0,0,0,2024
Isaac Okoro,SF,23,CLE,69,1887,11.4,4.0,8.2,6.1,9.5,1.5,1.6,13.9,2.1,2.0,4.2,0.106,-1.8,0.7,-1.1,0.4,0,0,0,2024
Eugene Omoruyi,SF,26,WAS,43,393,16.0,9.3,13.9,11.6,13.0,3.2,1.0,22.5,0.2,0.4,0.6,0.074,-1.9,-0.4,-2.3,0.0,0,0,0,2024
Cedi Osman,SF,28,SAS,72,1269,11.2,2.1,13.3,7.7,13.0,1.3,0.7,15.1,1.0,0.9,1.9,0.071,-1.7,-0.3,-2.1,0.0,0,0,0,2024
Kelly Oubre Jr.,SF,28,PHI,68,2055,13.5,5.0,13.5,9.2,7.3,1.8,2.1,22.4,0.6,2.4,3.0,0.07,-1.5,-0.7,-2.3,-0.1,0,0,0,2024
Chris Paul,PG,38,GSW,58,1531,14.7,1.3,14.4,7.9,33.4,2.2,0.4,15.6,2.6,1.7,4.3,0.136,-0.2,1.2,1.0,1.2,0,0,0,2024
Gary Payton II,SG,31,GSW,44,680,13.9,7.4,10.5,9.0,9.4,2.8,2.4,13.6,0.9,0.9,1.8,0.125,-1.3,2.2,0.9,0.5,0,0,0,2024
Mãozinha Pereira,SF,23,MEM,7,122,15.7,9.5,24.3,16.6,2.5,2.4,3.1,15.6,0.1,0.2,0.3,0.123,-1.2,0.7,-0.5,0.0,0,1,0,2024
Drew Peterson,PF,24,BOS,3,23,18.5,0.0,4.5,2.3,5.9,4.3,0.0,13.3,0.1,0.0,0.1,0.194,3.8,1.6,5.3,0.0,0,1,0,2024
