Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Tyler Zeller,C,28,TOT,66,1109,16.0,11.0,19.4,15.2,6.7,0.7,2.5,16.4,2.0,0.9,2.9,0.126,-0.5,-0.9,-1.4,0.2,0,0,0,2018
Álex Abrines,SG,24,OKC,75,1134,9.0,2.5,8.9,5.6,3.4,1.7,0.6,12.7,1.3,1.0,2.2,0.094,-1.9,0.4,-1.5,0.1,0,0,0,2018
Quincy Acy,PF,27,BRK,70,1359,8.2,3.1,17.1,10.0,6.0,1.2,1.6,14.4,-0.1,1.1,1.0,0.036,-2.6,0.1,-2.5,-0.2,0,0,0,2018
Steven Adams,C,24,OKC,76,2487,20.6,16.6,13.9,15.3,5.5,1.8,2.8,16.7,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0,0,0,0,2018
Bam Adebayo,C,20,MIA,69,1368,15.7,9.7,21.6,15.6,11.0,1.2,2.5,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6,0,1,0,2018
Arron Afflalo,SG,32,ORL,53,682,5.8,0.6,10.1,5.3,6.2,0.3,1.1,12.5,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6,0,0,0,2018
Cole Aldrich,C,29,MIN,21,49,6.0,7.0,28.6,17.6,8.2,2.0,1.8,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1,0,0,0,2018
LaMarcus Aldridge,C,32,SAS,75,2509,25.0,10.8,17.3,14.0,11.3,0.9,3.0,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7,1,0,0,2018
Jarrett Allen,C,19,BRK,72,1441,17.5,10.5,18.1,14.3,5.4,0.9,4.6,16.3,2.7,1.5,4.2,0.141,-0.9,0.1,-0.8,0.5,0,1,0,2018
Kadeem Allen,PG,25,BOS,18,107,2.6,4.1,7.1,5.6,15.2,1.4,1.6,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2,0,1,0,2018
Tony Allen,SF,36,NOP,22,273,8.7,8.2,10.4,9.3,4.6,1.9,0.9,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2,0,0,0,2018
Al-Farouq Aminu,PF,27,POR,69,2072,12.0,5.2,22.3,13.8,5.8,1.9,1.6,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3,0,0,0,2018
Justin Anderson,SF,24,PHI,38,519,13.0,5.4,13.6,9.6,7.1,1.4,1.1,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1,0,0,0,2018
Kyle Anderson,SF,24,SAS,74,1978,15.9,4.7,17.6,11.1,14.7,2.9,2.5,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4,0,0,0,2018
Ryan Anderson,PF,29,HOU,66,1725,12.6,6.2,15.4,10.8,5.1,0.7,1.0,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9,0,0,0,2018
Ike Anigbogu,C,19,IND,11,30,21.6,19.0,15.0,16.9,0.0,1.7,8.9,20.3,0.1,0.0,0.1,0.165,1.8,0.1,1.9,0.0,0,1,0,2018
Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3,6.7,25.3,16.0,23.7,2.0,3.3,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,1,0,0,2018
Carmelo Anthony,PF,33,OKC,78,2501,12.7,2.9,17.7,10.0,6.5,0.9,1.8,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0,0,0,0,2018
OG Anunoby,SF,20,TOR,74,1481,10.0,3.4,10.4,7.0,5.0,1.7,0.8,12.4,1.4,1.6,3.0,0.098,-1.2,0.6,-0.6,0.5,0,1,0,2018
